Name,Balance,Movement,Empty Space,Perspective
Still life with a sliver ewer - Kalf.jpg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Still Life with Ebony Chest - Pereda.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Still Life with Flowers etc - Peeters.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
The Anatomy Lesson of Dr. Nicolaes Tuple - Rembrant.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective
The Arrival of Marie de Medici at Marseille - rubens.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The art of painting - vermeer.jpg,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
The Calling of Saint Matthew - Caravaggio.jpg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
The Consequences of War - Rubens.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
The Crowning with Thorns - Caravaggio.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
The Crucifixion of St. Peter - Caravaggio.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
The Feast of St Nicholas - Steen.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
The Geographer - Vermeer.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
The Immaculate Conception of Los Venerables - Murillo.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective
The Jewish Bride - Rembrant.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
The Jewish Cemetary - Ruisdael.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Martyrdom of Saint Serapion - Zurbaran.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
The Night Watch - Rembrant.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
The Presentation of the Portrait of Marie de' Medici - Rubens.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Proposition - Leyster.jpg,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
The Rape of the Daughters of Leucippus.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
The Supper at Emmaus - Caravaggio.jpg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
The Triumph of Bacchus - Velazquez.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
The Waterseller of Seville - Velazquez.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Venus Mars and Cupid - Rubens.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
View of Haarlen with Bleaching Grounds - Ruisdael.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Removed Perspective
Vulcan's Forge - Velazquez.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Woman with a water jug - Vermeer.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Women Regents - Hals.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective
Big Nude - Braque.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Bottle and Fishes - Braque.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Bottle and Glass on a Table - Gris.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
Clarinet and Bottle of Rum on a Mantlepiece - Braque.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Contrast of Forms - Leger.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Cubist Self Portrait - Dali.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Daniel-Henry Kahnweiler - Picasso.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Dora Maar au Chat - Picasso.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Fruit Dish and Glass - Braque.jpg,Highly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Gala and the Angelus of Millet - Dali.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Girl Before A Mirror - Picasso.jpg,Highly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Girl with Mandolin - Picasso.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Gueridon - Braque.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Guernica - Picasso.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Guitar - Picasso.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Houses at l'Estaque - Braque.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Jacqueline Kneeling - Picasso.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
L'Oiseau bleu - Metzinger.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
La Femme aux Phlox - Gleizes.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Ma Joile - Picasso.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Man with a Pipe - Picasso.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Nature morte au compotier - Picasso.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Nude Descending a Staircase - Duchamp.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Painter and Model - Picasso.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Paris Through a Window - Chagall.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Portrait of Ambroise Vollard - Picasso.jpg,Highly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Portrait of Dora Maar - Picasso.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Portrait of Pablo Picasso - Gris.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Self Portrait with Seven Fingers - Chagall.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Still life with Clarinet - Braque.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The City - Delaunay.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The City - Leger.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Eiffel Tower - Delaunay.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
The Green Violinist - Chagall.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
The Open Window - Gris.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
The Portuguese - Braque.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
The Reservoir - Picasso.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
The Round Table - Braque.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
The Table - Gris.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Three Musicians - Picasso.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Three Women - Picasso.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Violin and Candlestick - Braque.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Violin and Checkerboard - Gris.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Violin and Guitar - Gris.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Violin and Palette - Braque.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Woman in Hat with a Fur Collar - Picasso.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Woman with Guitar - Braque.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Zapata-style Landscape - Rivera.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Guitar on a table - Gris.jpeg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
All Saints - Kandinsky.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
All Saints I - Kandinsky.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Blue Horse I - Marc.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Blue Horses - Marc.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Boy Leading a Horse - Picasso.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Castle and Sun - Klee.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Death in a Sickroom - Munch.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Dog Lying in the Snow - Marc.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Evening on Karl Johan Street - Munch.jpg,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Fighting Forms - Marc.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Girls on the Bridge - Munch.jpg,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Grazing Horses IV - Marc.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Harmony in Red - Matisse.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Hermits - Schiele.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Improvisation 28 - Kandinsky.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
L'Atelier Rouge - Matisse.jpg,Highly Balanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective
Little Blue Horse - Marc.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Love and Pain - Munch.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Migrants - Portinari.jpg,Mostly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Nude at Rest - Balthus.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Nude Sitting on a Divan - Modigliani.jpg,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Portrait of Luna Czechowski - Modigliani.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Portrait of Wally - Schiele.jpg,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Potsdamer Platz - Kirchner.jpg,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Puberty - Munch.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Seated Male Nude - Schiele.jpg,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Seated Nude - Modigliani.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Seated Woman with Bent Knee - Schiele.jpg,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Self Portrait - Picasso.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Self Portrait as a Soldier - Kirchner.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Self Portrait with Chinese Lantern Plant - Schiele.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Small Pleasures - Kandinsky.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Street Berlin - Kirchner.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Street Dresden - Kirchner.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Absinthe Drinker - Picasso.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
The Blue Rider - Kandinsky.jpg,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Removed Perspective
The Dance of Life - Munch.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Scream - Munch.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
The World Cow - Marc.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
The Yellow Man - Malfatti.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Tower of Blue Horses - Marc.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Yellow Cow - Marc.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Young girl in a flowered hat - Jawlensky.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Young girl with yellow flowers in the glass - Becker.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Death and Fire - Klee.jpeg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Fish Magic - Klee.jpeg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
La Blouse Roumaine - Matisse.jpeg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Portrait of Gertrude Stien - Picasso.jpeg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
The Old Guitarist - Picasso.jpeg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Banks of the Seine at Chatou - Vlaminck.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Boats at Martigues - Dufy.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Bonheur de Vivre - Matisse.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
Charing Cross Bridge - Derain.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Church Tower at Domburg - Mondrian.jpg,Mostly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Collioure Interior - Matisse.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Dance - Matisse.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective
Dune IV - Mondrain.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Goldfish - Matisse.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Lady in the hat - Mashkov.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Landscape near Antwerp - Braque.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Landscape Near Chatou - Derain.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Landscape with Red Roofs - Vlaminck.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Le cafe Maure - Matisse.jpg,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
Les Toit de Collioure - Matisse.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Luxe - Matisse.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
Mountains at Collioure - Derain.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Notre Dame - Matisse.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Portrait of Andre Derain - Matisse.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Portrait of Matisse - Derain.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Portrait of the Son - Konchalovsky.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective
Prades the Village - Miro.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Regent Street - Derain.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Self Portrait - Matisse.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Ship at La Harve - Braque.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Street Lamp - Marquet.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Blue Nude - Matisse.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
The Blue Window - Matisse.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
The Corn Poppy - Dongen.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
The Dance - Derain.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Estaque - Braque.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Green Line - Matisse.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
The Moulade - Matisse.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Open Window - Matisse.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Turning Road - Derain.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Turkisches Cafe - Macke.jpg,Mostly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Windmill in Sunlight - Mondrain.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Window Opening on Nice - Dufy.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Woman with a Hat - Matisse.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Zorah on the Terrace - Matisse.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
Bougival - Vlaminck.jpeg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Portrait of Derain - Vlaminck.jpeg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Posters at Trouville - Dufy.jpeg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Self Portrait with a Cap - Derain.jpeg,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Still life with Grapes - Mashov.jpeg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
The Piano Lesson - Matisse.jpeg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
The Red Mill - Mondrian.jpeg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
The River Seine at Chatou - Vlaminck.jpeg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Tugboat on the Siene - Vlaminck.jpeg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
A Girl with a Watering Can - Renoir.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
A Stream Beneath the Poplars - Perry.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
At the Races in the Countryside - degas.jpg,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Autumn Effect at Argenteuil - Monet.jpg,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Removed Perspective
Autumn-Banks of the Seine near Bougival - Sisley.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Removed Perspective
Boulevard de Capucines - Monet.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Cafe-Concert at Les Ambassadeurs - Degas.jpg,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Camille Monet and a Child in the Artist's Garden at Argenteuil - Monet.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Caprice in Purple and Gold - Whistler.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Cliff Walk at Pourville - Monet.jpg,Highly Imbalanced Space,Highly Static Movement,Small Empty Space,Removed Perspective
Dal du moulin de la Galette - Renoir.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Girl with Peaches - Serov.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Grainstack - Monet.jpg,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Haystacks - Monet.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Hoarfrost - Pissarro.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Hunting Butterflies - Morisot.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
In the Loge - Cassatt.jpg,Highly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
La Gare Saint-Lazare - Monet.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
La Loge - Renoir.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
La Promenade - Renoir.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Les Bain a la Grenoullere - Monet.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Little Girl in a Blue Armchair - Cassatt.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Luncheon on the Grass - Monet.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Madame Georges Charpentier - Renoir.jpg,Highly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Man at his Bath - Caillebotte.jpg,Mostly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Poplars - Monet.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
Study - Renior.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
The Basin at Argenteuil - Monet.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
The Bellelli Family - Degas.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Childs Bath - Cassatt.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
The Cradle - Morisot.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Girl Covered by the Sun - Serov.jpg,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
The Grands Boulevard - Renoir.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
The Harbor at Lorient - Morisot.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
The Swing - Renoir.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
The Water Lilies - Monet.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
Two Sisters - Renoir.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Visit to a Museum - Degas.jpg,Highly Imbalanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Woman with the Pearl Necklace - Cassatt.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Women in the Garden - Monet.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Floor Scrappers - Caillebotte.jpeg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Impression Sunrise - Monet.jpeg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Luncheon of the Boating Party - Renoir.jpeg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
