Name,Color Mode,Color Diversity,Color Intensity,Color Harmony,Proximity Contrast,Depth,Value Contrast,Average Value,Lines,Balance,Movement,Empty Space,Perspective,Brushstroke Control,Brushstroke Visibility,Outlines
Jacqueline Kneeling - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
L'Oiseau bleu - Metzinger.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
La Femme aux Phlox - Gleizes.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Ma Joile - Picasso.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Flat Depth,Low Contrast,Dark Value,Indistinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Man with a Pipe - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,,Stark Color Contrast,Flat Depth,Low Contrast,Balanced Value,Indistinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Nature morte au compotier - Picasso.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,,Flat Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Nude Descending a Staircase - Duchamp.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Stark Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Blended Brushstrokes,Heavy Outlines
Painter and Model - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,High Contrast,Balanced Value,Intermediate Lines,Highly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Paris Through a Window - Chagall.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Blended Brushstrokes,Heavy Outlines
Portrait of Ambroise Vollard - Picasso.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Flat Depth,Low Contrast,Dark Value,Indistinct Lines,Highly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Portrait of Dora Maar - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Portrait of Pablo Picasso - Gris.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Self Portrait with Seven Fingers - Chagall.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Still life with Clarinet - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Flat Depth,Normal Contrast,Dark Value,Indistinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
The City - Delaunay.jpg,Expressionistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
