Name,Mode,Diversity,Intensity,Harmony,Contrast
Singing boy with a flute - Hals.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
St. John the Baptist in Wilderness - Caravaggio.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Still life with a sliver ewer - Kalf.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,,Blended Color Contrast
Still Life with Ebony Chest - Pereda.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Still Life with Flowers etc - Peeters.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Anatomy Lesson of Dr. Nicolaes Tuple - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Arrival of Marie de Medici at Marseille - rubens.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,,Blended Color Contrast
The art of painting - vermeer.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Calling of Saint Matthew - Caravaggio.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Consequences of War - Rubens.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Crowning with Thorns - Caravaggio.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,,Blended Color Contrast
The Crucifixion of St. Peter - Caravaggio.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Feast of St Nicholas - Steen.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Geographer - Vermeer.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Immaculate Conception of Los Venerables - Murillo.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Jewish Bride - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Jewish Cemetary - Ruisdael.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Martyrdom of Saint Serapion - Zurbaran.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Night Watch - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Presentation of the Portrait of Marie de' Medici - Rubens.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Proposition - Leyster.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Rape of the Daughters of Leucippus.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Supper at Emmaus - Caravaggio.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Triumph of Bacchus - Velazquez.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Waterseller of Seville - Velazquez.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Venus Mars and Cupid - Rubens.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
View of Haarlen with Bleaching Grounds - Ruisdael.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,,Blended Color Contrast
Vulcan's Forge - Velazquez.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Woman with a water jug - Vermeer.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Women Regents - Hals.jpg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Big Nude - Braque.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Bottle and Fishes - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Bottle and Glass on a Table - Gris.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Clarinet and Bottle of Rum on a Mantlepiece - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Contrast of Forms - Leger.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,
Cubist Self Portrait - Dali.jpg,Expressionistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast
Daniel-Henry Kahnweiler - Picasso.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Dora Maar au Chat - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Fruit Dish and Glass - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Gala and the Angelus of Millet - Dali.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Girl Before A Mirror - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Girl with Mandolin - Picasso.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Gueridon - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,
Guernica - Picasso.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,,
Guitar - Picasso.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast
Houses at l'Estaque - Braque.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,
Jacqueline Kneeling - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
L'Oiseau bleu - Metzinger.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,
La Femme aux Phlox - Gleizes.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Ma Joile - Picasso.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Man with a Pipe - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,,Stark Color Contrast
Nature morte au compotier - Picasso.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Nude Descending a Staircase - Duchamp.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Stark Color Contrast
Painter and Model - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Paris Through a Window - Chagall.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Portrait of Ambroise Vollard - Picasso.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Portrait of Dora Maar - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Portrait of Pablo Picasso - Gris.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Self Portrait with Seven Fingers - Chagall.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Still life with Clarinet - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The City - Delaunay.jpg,Expressionistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast
The City - Leger.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
The Eiffel Tower - Delaunay.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Green Violinist - Chagall.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
The Open Window - Gris.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
The Portuguese - Braque.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Reservoir - Picasso.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Round Table - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,,Stark Color Contrast
The Table - Gris.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Three Musicians - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Three Women - Picasso.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
Violin and Candlestick - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Violin and Checkerboard - Gris.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Violin and Guitar - Gris.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,,Stark Color Contrast
Violin and Palette - Braque.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Woman in Hat with a Fur Collar - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Woman with Guitar - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,
Zapata-style Landscape - Rivera.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,
Guitar on a table - Gris.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
All Saints - Kandinsky.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,,Stark Color Contrast
All Saints I - Kandinsky.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,,
Blue Horse I - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Blue Horses - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Boy Leading a Horse - Picasso.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Castle and Sun - Klee.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Death in a Sickroom - Munch.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,,Blended Color Contrast
Dog Lying in the Snow - Marc.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Evening on Karl Johan Street - Munch.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Fighting Forms - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Girls on the Bridge - Munch.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Grazing Horses IV - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Harmony in Red - Matisse.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Hermits - Schiele.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Improvisation 28 - Kandinsky.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
L'Atelier Rouge - Matisse.jpg,Expressionistic Color,Monochrome Hue,Vibrant Tone,,Stark Color Contrast
Little Blue Horse - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Love and Pain - Munch.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Migrants - Portinari.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Nude at Rest - Balthus.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Nude Sitting on a Divan - Modigliani.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Portrait of Luna Czechowski - Modigliani.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
Portrait of Wally - Schiele.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Potsdamer Platz - Kirchner.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Puberty - Munch.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Seated Male Nude - Schiele.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Seated Nude - Modigliani.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
Seated Woman with Bent Knee - Schiele.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Self Portrait - Picasso.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Self Portrait as a Soldier - Kirchner.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,
Self Portrait with Chinese Lantern Plant - Schiele.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Small Pleasures - Kandinsky.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Street Berlin - Kirchner.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Street Dresden - Kirchner.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Absinthe Drinker - Picasso.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Blue Rider - Kandinsky.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Dance of Life - Munch.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Scream - Munch.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The World Cow - Marc.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Yellow Man - Malfatti.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Tower of Blue Horses - Marc.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Yellow Cow - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Young girl in a flowered hat - Jawlensky.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Young girl with yellow flowers in the glass - Becker.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,,Blended Color Contrast
Death and Fire - Klee.jpeg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Fish Magic - Klee.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
La Blouse Roumaine - Matisse.jpeg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Portrait of Gertrude Stien - Picasso.jpeg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Old Guitarist - Picasso.jpeg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Banks of the Seine at Chatou - Vlaminck.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Boats at Martigues - Dufy.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Bonheur de Vivre - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Charing Cross Bridge - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Church Tower at Domburg - Mondrian.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Collioure Interior - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Dance - Matisse.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Dune IV - Mondrain.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Goldfish - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Lady in the hat - Mashkov.jpg,Expressionistic Color,Highly Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Landscape near Antwerp - Braque.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Landscape Near Chatou - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Landscape with Red Roofs - Vlaminck.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Stark Color Contrast
Le cafe Maure - Matisse.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Stark Color Contrast
Les Toit de Collioure - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Luxe - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Mountains at Collioure - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Notre Dame - Matisse.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Portrait of Andre Derain - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Portrait of Matisse - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Portrait of the Son - Konchalovsky.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Prades the Village - Miro.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Regent Street - Derain.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Self Portrait - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Muted/Tinted,Harmonious Color,Stark Color Contrast
Ship at La Harve - Braque.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Street Lamp - Marquet.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
The Blue Nude - Matisse.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Blue Window - Matisse.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
The Corn Poppy - Dongen.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Dance - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
The Estaque - Braque.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
The Green Line - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
The Moulade - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast
The Open Window - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
The Turning Road - Derain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Turkisches Cafe - Macke.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Windmill in Sunlight - Mondrain.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Window Opening on Nice - Dufy.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast
Woman with a Hat - Matisse.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Zorah on the Terrace - Matisse.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Bougival - Vlaminck.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Portrait of Derain - Vlaminck.jpeg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Posters at Trouville - Dufy.jpeg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Self Portrait with a Cap - Derain.jpeg,Expressionistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast
Still life with Grapes - Mashov.jpeg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Piano Lesson - Matisse.jpeg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Stark Color Contrast
The Red Mill - Mondrian.jpeg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The River Seine at Chatou - Vlaminck.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Tugboat on the Siene - Vlaminck.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
A Girl with a Watering Can - Renoir.jpg,Capture Color,Highly Diverse Hue,True Tone,Harmonious Color,
A Stream Beneath the Poplars - Perry.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,
At the Races in the Countryside - degas.jpg,Capture Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Autumn Effect at Argenteuil - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
Autumn-Banks of the Seine near Bougival - Sisley.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Boulevard de Capucines - Monet.jpg,Capture Color,Similar Hue,Muted/Tinted,Harmonious Color,
Cafe-Concert at Les Ambassadeurs - Degas.jpg,Capture Color,Highly Diverse Hue,True Tone,Friction/Tension Color,
Camille Monet and a Child in the Artist's Garden at Argenteuil - Monet.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,
Caprice in Purple and Gold - Whistler.jpg,Capture Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Cliff Walk at Pourville - Monet.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Dal du moulin de la Galette - Renoir.jpg,Capture Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Girl with Peaches - Serov.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Grainstack - Monet.jpg,Capture Color,Similar Hue,Vibrant Tone,Harmonious Color,
Haystacks - Monet.jpg,Capture Color,Similar Hue,Muted/Tinted,Harmonious Color,
Hoarfrost - Pissarro.jpg,Capture Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,
Hunting Butterflies - Morisot.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,
In the Loge - Cassatt.jpg,Capture Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,
La Gare Saint-Lazare - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
La Loge - Renoir.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,
La Promenade - Renoir.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
Les Bain a la Grenoullere - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Little Girl in a Blue Armchair - Cassatt.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,
Luncheon on the Grass - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
Madame Georges Charpentier - Renoir.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Man at his Bath - Caillebotte.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Poplars - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
