Name,Control,Visibility,Outlines
The Arrival of Marie de Medici at Marseille - rubens.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The art of painting - vermeer.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Calling of Saint Matthew - Caravaggio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Consequences of War - Rubens.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Crowning with Thorns - Caravaggio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Crucifixion of St. Peter - Caravaggio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Feast of St Nicholas - Steen.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Geographer - Vermeer.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Immaculate Conception of Los Venerables - Murillo.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Jewish Bride - Rembrant.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Jewish Cemetary - Ruisdael.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Martyrdom of Saint Serapion - Zurbaran.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Night Watch - Rembrant.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Presentation of the Portrait of Marie de' Medici - Rubens.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Proposition - Leyster.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Rape of the Daughters of Leucippus.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Supper at Emmaus - Caravaggio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Triumph of Bacchus - Velazquez.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Waterseller of Seville - Velazquez.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Venus Mars and Cupid - Rubens.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
View of Haarlen with Bleaching Grounds - Ruisdael.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Vulcan's Forge - Velazquez.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Woman with a water jug - Vermeer.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Women Regents - Hals.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Big Nude - Braque.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Bottle and Fishes - Braque.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Bottle and Glass on a Table - Gris.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Clarinet and Bottle of Rum on a Mantlepiece - Braque.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Contrast of Forms - Leger.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Cubist Self Portrait - Dali.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Daniel-Henry Kahnweiler - Picasso.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Dora Maar au Chat - Picasso.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Fruit Dish and Glass - Braque.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Gala and the Angelus of Millet - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Girl Before A Mirror - Picasso.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Girl with Mandolin - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Gueridon - Braque.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Guernica - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Guitar - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Houses at l'Estaque - Braque.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Jacqueline Kneeling - Picasso.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
L'Oiseau bleu - Metzinger.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
La Femme aux Phlox - Gleizes.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Ma Joile - Picasso.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Man with a Pipe - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Nature morte au compotier - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Nude Descending a Staircase - Duchamp.jpg,Mostly Wild Brushstrokes,Blended Brushstrokes,Heavy Outlines
Painter and Model - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Paris Through a Window - Chagall.jpg,Mostly Wild Brushstrokes,Blended Brushstrokes,Heavy Outlines
Portrait of Ambroise Vollard - Picasso.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Portrait of Dora Maar - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Portrait of Pablo Picasso - Gris.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Self Portrait with Seven Fingers - Chagall.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Still life with Clarinet - Braque.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
The City - Delaunay.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
The City - Leger.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Eiffel Tower - Delaunay.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Green Violinist - Chagall.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Open Window - Gris.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Portuguese - Braque.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
The Reservoir - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Round Table - Braque.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Table - Gris.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Three Musicians - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Three Women - Picasso.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Violin and Candlestick - Braque.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Violin and Checkerboard - Gris.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Violin and Guitar - Gris.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Violin and Palette - Braque.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Woman in Hat with a Fur Collar - Picasso.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Woman with Guitar - Braque.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Zapata-style Landscape - Rivera.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Guitar on a table - Gris.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
All Saints - Kandinsky.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
All Saints I - Kandinsky.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Blue Horse I - Marc.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Blue Horses - Marc.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Boy Leading a Horse - Picasso.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Castle and Sun - Klee.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Death in a Sickroom - Munch.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Dog Lying in the Snow - Marc.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Evening on Karl Johan Street - Munch.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Fighting Forms - Marc.jpg,Mostly Wild Brushstrokes,Blended Brushstrokes,Light/No Outlines
Girls on the Bridge - Munch.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Grazing Horses IV - Marc.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Harmony in Red - Matisse.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Hermits - Schiele.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Improvisation 28 - Kandinsky.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
L'Atelier Rouge - Matisse.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Little Blue Horse - Marc.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Love and Pain - Munch.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Migrants - Portinari.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Nude at Rest - Balthus.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Nude Sitting on a Divan - Modigliani.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Portrait of Luna Czechowski - Modigliani.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Portrait of Wally - Schiele.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Potsdamer Platz - Kirchner.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Puberty - Munch.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Seated Male Nude - Schiele.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Seated Nude - Modigliani.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Seated Woman with Bent Knee - Schiele.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Self Portrait - Picasso.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Self Portrait as a Soldier - Kirchner.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Self Portrait with Chinese Lantern Plant - Schiele.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Small Pleasures - Kandinsky.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Street Berlin - Kirchner.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Street Dresden - Kirchner.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
The Absinthe Drinker - Picasso.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Blue Rider - Kandinsky.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Dance of Life - Munch.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
The Scream - Munch.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The World Cow - Marc.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Yellow Man - Malfatti.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Tower of Blue Horses - Marc.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Yellow Cow - Marc.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Young girl in a flowered hat - Jawlensky.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Young girl with yellow flowers in the glass - Becker.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Death and Fire - Klee.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Fish Magic - Klee.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
La Blouse Roumaine - Matisse.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Portrait of Gertrude Stien - Picasso.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Old Guitarist - Picasso.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Banks of the Seine at Chatou - Vlaminck.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Boats at Martigues - Dufy.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Bonheur de Vivre - Matisse.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Charing Cross Bridge - Derain.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Church Tower at Domburg - Mondrian.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Collioure Interior - Matisse.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Dance - Matisse.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Dune IV - Mondrain.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Goldfish - Matisse.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Lady in the hat - Mashkov.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Landscape near Antwerp - Braque.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Landscape Near Chatou - Derain.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Landscape with Red Roofs - Vlaminck.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Le cafe Maure - Matisse.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Les Toit de Collioure - Matisse.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Luxe - Matisse.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Mountains at Collioure - Derain.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Notre Dame - Matisse.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Portrait of Andre Derain - Matisse.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Portrait of Matisse - Derain.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Portrait of the Son - Konchalovsky.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Prades the Village - Miro.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Regent Street - Derain.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Self Portrait - Matisse.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Ship at La Harve - Braque.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Street Lamp - Marquet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Blue Nude - Matisse.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
The Blue Window - Matisse.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Corn Poppy - Dongen.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Dance - Derain.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Estaque - Braque.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Green Line - Matisse.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
The Moulade - Matisse.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Open Window - Matisse.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Turning Road - Derain.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Turkisches Cafe - Macke.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Windmill in Sunlight - Mondrain.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Window Opening on Nice - Dufy.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Woman with a Hat - Matisse.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Zorah on the Terrace - Matisse.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Bougival - Vlaminck.jpeg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Portrait of Derain - Vlaminck.jpeg,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Posters at Trouville - Dufy.jpeg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Self Portrait with a Cap - Derain.jpeg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Still life with Grapes - Mashov.jpeg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Piano Lesson - Matisse.jpeg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Red Mill - Mondrian.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The River Seine at Chatou - Vlaminck.jpeg,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Tugboat on the Siene - Vlaminck.jpeg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
A Girl with a Watering Can - Renoir.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
A Stream Beneath the Poplars - Perry.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
At the Races in the Countryside - degas.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Autumn Effect at Argenteuil - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Autumn-Banks of the Seine near Bougival - Sisley.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Boulevard de Capucines - Monet.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Cafe-Concert at Les Ambassadeurs - Degas.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Camille Monet and a Child in the Artist's Garden at Argenteuil - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Caprice in Purple and Gold - Whistler.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Cliff Walk at Pourville - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Dal du moulin de la Galette - Renoir.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Girl with Peaches - Serov.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Grainstack - Monet.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Haystacks - Monet.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Hoarfrost - Pissarro.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Hunting Butterflies - Morisot.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
In the Loge - Cassatt.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
La Gare Saint-Lazare - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
La Loge - Renoir.jpg,Mostly Wild Brushstrokes,Blended Brushstrokes,Light/No Outlines
La Promenade - Renoir.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Les Bain a la Grenoullere - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Little Girl in a Blue Armchair - Cassatt.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Luncheon on the Grass - Monet.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Madame Georges Charpentier - Renoir.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Man at his Bath - Caillebotte.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Poplars - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Study - Renior.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Basin at Argenteuil - Monet.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Bellelli Family - Degas.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Childs Bath - Cassatt.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Cradle - Morisot.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Girl Covered by the Sun - Serov.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Grands Boulevard - Renoir.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Harbor at Lorient - Morisot.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Swing - Renoir.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Water Lilies - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Two Sisters - Renoir.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Visit to a Museum - Degas.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Woman with the Pearl Necklace - Cassatt.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Women in the Garden - Monet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Floor Scrappers - Caillebotte.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Impression Sunrise - Monet.jpeg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
