Name,Depth,Contrast,Value,Lines
The Calling of Saint Matthew - Caravaggio.jpg,Normal/Regular Depth,High Contrast,Dark Value,Intermediate Lines
The Consequences of War - Rubens.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Crowning with Thorns - Caravaggio.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Crucifixion of St. Peter - Caravaggio.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Feast of St Nicholas - Steen.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Geographer - Vermeer.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Immaculate Conception of Los Venerables - Murillo.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Jewish Bride - Rembrant.jpg,Shallow Depth,Low Contrast,Dark Value,Intermediate Lines
The Jewish Cemetary - Ruisdael.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Martyrdom of Saint Serapion - Zurbaran.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Night Watch - Rembrant.jpg,Deep Depth,High Contrast,Dark Value,Intermediate Lines
The Presentation of the Portrait of Marie de' Medici - Rubens.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Proposition - Leyster.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
The Rape of the Daughters of Leucippus.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Supper at Emmaus - Caravaggio.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Triumph of Bacchus - Velazquez.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Waterseller of Seville - Velazquez.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Venus Mars and Cupid - Rubens.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
View of Haarlen with Bleaching Grounds - Ruisdael.jpg,Deep Depth,Normal Contrast,Light Value,Intermediate Lines
Vulcan's Forge - Velazquez.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Woman with a water jug - Vermeer.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Women Regents - Hals.jpg,Normal/Regular Depth,High Contrast,Dark Value,Intermediate Lines
Big Nude - Braque.jpg,Flat Depth,Low Contrast,Light Value,Intermediate Lines
Bottle and Fishes - Braque.jpg,Shallow Depth,Normal Contrast,Dark Value,Indistinct Lines
Bottle and Glass on a Table - Gris.jpg,Flat Depth,Normal Contrast,Light Value,Distinct Lines
Clarinet and Bottle of Rum on a Mantlepiece - Braque.jpg,Flat Depth,Low Contrast,Balanced Value,Indistinct Lines
Contrast of Forms - Leger.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Cubist Self Portrait - Dali.jpg,Flat Depth,Low Contrast,Light Value,Indistinct Lines
Daniel-Henry Kahnweiler - Picasso.jpg,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines
Dora Maar au Chat - Picasso.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Fruit Dish and Glass - Braque.jpg,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines
Gala and the Angelus of Millet - Dali.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Girl Before A Mirror - Picasso.jpg,Flat Depth,Low Contrast,Light Value,Distinct Lines
Girl with Mandolin - Picasso.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
Gueridon - Braque.jpg,Flat Depth,Normal Contrast,Balanced Value,Intermediate Lines
Guernica - Picasso.jpg,Flat Depth,High Contrast,Balanced Value,Intermediate Lines
Guitar - Picasso.jpg,Flat Depth,Low Contrast,Light Value,Distinct Lines
Houses at l'Estaque - Braque.jpg,Shallow Depth,Low Contrast,Dark Value,Intermediate Lines
Jacqueline Kneeling - Picasso.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
L'Oiseau bleu - Metzinger.jpg,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines
La Femme aux Phlox - Gleizes.jpg,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines
Ma Joile - Picasso.jpg,Flat Depth,Low Contrast,Dark Value,Indistinct Lines
Man with a Pipe - Picasso.jpg,Flat Depth,Low Contrast,Balanced Value,Indistinct Lines
Nature morte au compotier - Picasso.jpg,Flat Depth,Low Contrast,Light Value,Intermediate Lines
Nude Descending a Staircase - Duchamp.jpg,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines
Painter and Model - Picasso.jpg,Flat Depth,High Contrast,Balanced Value,Intermediate Lines
Paris Through a Window - Chagall.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Ambroise Vollard - Picasso.jpg,Flat Depth,Low Contrast,Dark Value,Indistinct Lines
Portrait of Dora Maar - Picasso.jpg,Flat Depth,High Contrast,Balanced Value,Distinct Lines
Portrait of Pablo Picasso - Gris.jpg,Flat Depth,Normal Contrast,Balanced Value,Intermediate Lines
Self Portrait with Seven Fingers - Chagall.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Still life with Clarinet - Braque.jpg,Flat Depth,Normal Contrast,Dark Value,Indistinct Lines
The City - Delaunay.jpg,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines
The City - Leger.jpg,Flat Depth,High Contrast,Balanced Value,Intermediate Lines
The Eiffel Tower - Delaunay.jpg,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines
The Green Violinist - Chagall.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Open Window - Gris.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
The Portuguese - Braque.jpg,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines
The Reservoir - Picasso.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Intermediate Lines
The Round Table - Braque.jpg,Shallow Depth,Low Contrast,Balanced Value,Distinct Lines
The Table - Gris.jpg,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines
Three Musicians - Picasso.jpg,Flat Depth,Low Contrast,Dark Value,Intermediate Lines
Three Women - Picasso.jpg,Shallow Depth,Normal Contrast,Dark Value,Intermediate Lines
Violin and Candlestick - Braque.jpg,Flat Depth,High Contrast,Balanced Value,Indistinct Lines
Violin and Checkerboard - Gris.jpg,Flat Depth,High Contrast,Balanced Value,Indistinct Lines
Violin and Guitar - Gris.jpg,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines
Violin and Palette - Braque.jpg,Shallow Depth,Normal Contrast,Balanced Value,Indistinct Lines
Woman in Hat with a Fur Collar - Picasso.jpg,Flat Depth,High Contrast,Light Value,Distinct Lines
Woman with Guitar - Braque.jpg,Flat Depth,Normal Contrast,Dark Value,Indistinct Lines
Zapata-style Landscape - Rivera.jpg,Shallow Depth,Normal Contrast,Light Value,Indistinct Lines
Guitar on a table - Gris.jpeg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
All Saints - Kandinsky.jpg,Flat Depth,Low Contrast,Light Value,Intermediate Lines
All Saints I - Kandinsky.jpg,Flat Depth,Low Contrast,Light Value,Indistinct Lines
Blue Horse I - Marc.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Blue Horses - Marc.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
Boy Leading a Horse - Picasso.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Castle and Sun - Klee.jpg,Flat Depth,Low Contrast,Balanced Value,Distinct Lines
Death in a Sickroom - Munch.jpg,Normal/Regular Depth,Low Contrast,Balanced Value,Distinct Lines
Dog Lying in the Snow - Marc.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Evening on Karl Johan Street - Munch.jpg,Deep Depth,High Contrast,Balanced Value,Intermediate Lines
Fighting Forms - Marc.jpg,Flat Depth,High Contrast,Balanced Value,Indistinct Lines
Girls on the Bridge - Munch.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Grazing Horses IV - Marc.jpg,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines
Harmony in Red - Matisse.jpg,Flat Depth,Normal Contrast,Balanced Value,Distinct Lines
Hermits - Schiele.jpg,Flat Depth,Normal Contrast,Dark Value,Intermediate Lines
Improvisation 28 - Kandinsky.jpg,Flat Depth,High Contrast,Balanced Value,Intermediate Lines
L'Atelier Rouge - Matisse.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Little Blue Horse - Marc.jpg,Flat Depth,Normal Contrast,Balanced Value,Intermediate Lines
Love and Pain - Munch.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
Migrants - Portinari.jpg,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines
Nude at Rest - Balthus.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Nude Sitting on a Divan - Modigliani.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Luna Czechowski - Modigliani.jpg,Flat Depth,Low Contrast,Light Value,Distinct Lines
Portrait of Wally - Schiele.jpg,Flat Depth,High Contrast,Light Value,Intermediate Lines
Potsdamer Platz - Kirchner.jpg,Shallow Depth,High Contrast,Balanced Value,Intermediate Lines
Puberty - Munch.jpg,Shallow Depth,Normal Contrast,Dark Value,Distinct Lines
Seated Male Nude - Schiele.jpg,Shallow Depth,High Contrast,Light Value,Distinct Lines
Seated Nude - Modigliani.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
Seated Woman with Bent Knee - Schiele.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Self Portrait - Picasso.jpg,Flat Depth,High Contrast,Balanced Value,Distinct Lines
Self Portrait as a Soldier - Kirchner.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
Self Portrait with Chinese Lantern Plant - Schiele.jpg,Shallow Depth,High Contrast,Light Value,Intermediate Lines
Small Pleasures - Kandinsky.jpg,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines
Street Berlin - Kirchner.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines
Street Dresden - Kirchner.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Absinthe Drinker - Picasso.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Blue Rider - Kandinsky.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Dance of Life - Munch.jpg,Normal/Regular Depth,Normal Contrast,Dark Value,Intermediate Lines
The Scream - Munch.jpg,Normal/Regular Depth,Normal Contrast,Dark Value,Intermediate Lines
The World Cow - Marc.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Yellow Man - Malfatti.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Tower of Blue Horses - Marc.jpg,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines
Yellow Cow - Marc.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines
Young girl in a flowered hat - Jawlensky.jpg,Flat Depth,Normal Contrast,Balanced Value,Intermediate Lines
Young girl with yellow flowers in the glass - Becker.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Death and Fire - Klee.jpeg,Flat Depth,High Contrast,Light Value,Distinct Lines
Fish Magic - Klee.jpeg,Flat Depth,High Contrast,Dark Value,Distinct Lines
La Blouse Roumaine - Matisse.jpeg,Flat Depth,Low Contrast,Light Value,Distinct Lines
Portrait of Gertrude Stien - Picasso.jpeg,Shallow Depth,Normal Contrast,Dark Value,Distinct Lines
The Old Guitarist - Picasso.jpeg,Shallow Depth,Normal Contrast,Dark Value,Distinct Lines
Banks of the Seine at Chatou - Vlaminck.jpg,Shallow Depth,Normal Contrast,Balanced Value,Indistinct Lines
Boats at Martigues - Dufy.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Bonheur de Vivre - Matisse.jpg,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines
Charing Cross Bridge - Derain.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Church Tower at Domburg - Mondrian.jpg,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines
Collioure Interior - Matisse.jpg,Shallow Depth,Low Contrast,Light Value,Intermediate Lines
Dance - Matisse.jpg,Flat Depth,Low Contrast,Balanced Value,Distinct Lines
Dune IV - Mondrain.jpg,Normal/Regular Depth,Low Contrast,Light Value,Indistinct Lines
Goldfish - Matisse.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
Lady in the hat - Mashkov.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Landscape near Antwerp - Braque.jpg,Deep Depth,Low Contrast,Light Value,Indistinct Lines
Landscape Near Chatou - Derain.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Landscape with Red Roofs - Vlaminck.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines
Le cafe Maure - Matisse.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Les Toit de Collioure - Matisse.jpg,Deep Depth,Low Contrast,Light Value,Indistinct Lines
Luxe - Matisse.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
Mountains at Collioure - Derain.jpg,Deep Depth,Normal Contrast,Light Value,Intermediate Lines
Notre Dame - Matisse.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Portrait of Andre Derain - Matisse.jpg,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines
Portrait of Matisse - Derain.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
Portrait of the Son - Konchalovsky.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines
Prades the Village - Miro.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Regent Street - Derain.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines
Self Portrait - Matisse.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Ship at La Harve - Braque.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Street Lamp - Marquet.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Intermediate Lines
The Blue Nude - Matisse.jpg,Shallow Depth,High Contrast,Balanced Value,Intermediate Lines
The Blue Window - Matisse.jpg,Flat Depth,Low Contrast,Light Value,Intermediate Lines
The Corn Poppy - Dongen.jpg,Flat Depth,Normal Contrast,Light Value,Distinct Lines
The Dance - Derain.jpg,Flat Depth,Normal Contrast,Balanced Value,Distinct Lines
The Estaque - Braque.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Green Line - Matisse.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
The Moulade - Matisse.jpg,Normal/Regular Depth,Low Contrast,Light Value,Indistinct Lines
The Open Window - Matisse.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
The Turning Road - Derain.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Turkisches Cafe - Macke.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Windmill in Sunlight - Mondrain.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines
Window Opening on Nice - Dufy.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
Woman with a Hat - Matisse.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
Zorah on the Terrace - Matisse.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Bougival - Vlaminck.jpeg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
Portrait of Derain - Vlaminck.jpeg,Flat Depth,Low Contrast,Light Value,Intermediate Lines
Posters at Trouville - Dufy.jpeg,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines
Self Portrait with a Cap - Derain.jpeg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Still life with Grapes - Mashov.jpeg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
The Piano Lesson - Matisse.jpeg,Flat Depth,Normal Contrast,Balanced Value,Distinct Lines
The Red Mill - Mondrian.jpeg,Shallow Depth,Normal Contrast,Dark Value,Distinct Lines
The River Seine at Chatou - Vlaminck.jpeg,Deep Depth,Normal Contrast,Light Value,Intermediate Lines
Tugboat on the Siene - Vlaminck.jpeg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
A Girl with a Watering Can - Renoir.jpg,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines
A Stream Beneath the Poplars - Perry.jpg,Deep Depth,Normal Contrast,Balanced Value,Indistinct Lines
At the Races in the Countryside - degas.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Autumn Effect at Argenteuil - Monet.jpg,Deep Depth,Low Contrast,Light Value,Indistinct Lines
Autumn-Banks of the Seine near Bougival - Sisley.jpg,Deep Depth,Normal Contrast,Light Value,Indistinct Lines
Boulevard de Capucines - Monet.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines
Cafe-Concert at Les Ambassadeurs - Degas.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines
Camille Monet and a Child in the Artist's Garden at Argenteuil - Monet.jpg,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines
Caprice in Purple and Gold - Whistler.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Cliff Walk at Pourville - Monet.jpg,Deep Depth,Low Contrast,Light Value,Indistinct Lines
Dal du moulin de la Galette - Renoir.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Girl with Peaches - Serov.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines
Grainstack - Monet.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines
Haystacks - Monet.jpg,Deep Depth,Normal Contrast,Light Value,Intermediate Lines
Hoarfrost - Pissarro.jpg,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines
Hunting Butterflies - Morisot.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines
In the Loge - Cassatt.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
La Gare Saint-Lazare - Monet.jpg,Deep Depth,Low Contrast,Light Value,Indistinct Lines
La Loge - Renoir.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
La Promenade - Renoir.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
Les Bain a la Grenoullere - Monet.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
Little Girl in a Blue Armchair - Cassatt.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Luncheon on the Grass - Monet.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Madame Georges Charpentier - Renoir.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Man at his Bath - Caillebotte.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Poplars - Monet.jpg,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines
Study - Renior.jpg,Shallow Depth,Low Contrast,Light Value,Intermediate Lines
The Basin at Argenteuil - Monet.jpg,Deep Depth,Normal Contrast,Light Value,Intermediate Lines
The Bellelli Family - Degas.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Childs Bath - Cassatt.jpg,Shallow Depth,Low Contrast,Balanced Value,Distinct Lines
The Cradle - Morisot.jpg,Shallow Depth,Low Contrast,Light Value,Intermediate Lines
The Girl Covered by the Sun - Serov.jpg,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Grands Boulevard - Renoir.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines
The Harbor at Lorient - Morisot.jpg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
The Swing - Renoir.jpg,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines
The Water Lilies - Monet.jpg,Shallow Depth,Low Contrast,Light Value,Intermediate Lines
Two Sisters - Renoir.jpg,Deep Depth,Low Contrast,Light Value,Indistinct Lines
Visit to a Museum - Degas.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Indistinct Lines
Woman with the Pearl Necklace - Cassatt.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Intermediate Lines
Women in the Garden - Monet.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Floor Scrappers - Caillebotte.jpeg,Normal/Regular Depth,Low Contrast,Dark Value,Distinct Lines
Impression Sunrise - Monet.jpeg,Normal/Regular Depth,Low Contrast,Light Value,Indistinct Lines
Luncheon of the Boating Party - Renoir.jpeg,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines
Paris Street Rainy Day - Caillebotte.jpeg,Deep Depth,Low Contrast,Light Value,Distinct Lines
Poppies - Monet.jpeg,Deep Depth,Low Contrast,Light Value,Distinct Lines
The Ballet Class - Degas.jpeg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Boulevard Montmarte - Pissaro.jpeg,Deep Depth,High Contrast,Dark Value,Indistinct Lines
Woman with a Parasol - Monet.jpeg,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines
Women Walking on a Beach - Sorolla.jpeg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Achilles Receiving the Ambassadors of Agamemnon.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Ancient Rome - Panini.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Aqueduct in Ruins - Robert.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Benjamin Franklin Drawing Electricity from the Sky - West.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Charles Towneley in his sculpture gallery - Zoffany.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Cornelia Pointing to her Children as Her Treasures - Kauffmann.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Diana and Cupid - Batoni.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Fantasy view - Panini.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Johann Joachim Winckelmann.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Judgement of Paris - Mengs.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Julie Lebrun as Flora - Le Brun.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Jupiter and Thetis - Ingres.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Madame Raymod de Verninac - David.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Modern Romania - Tattarescu.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Napoleon Crossing the Alps - David.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Napoleon I on his Imperial Throne - Ingres.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Perseus and Andromeda - Leighton.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Antoine-Laurent Lavoisier and his wife - David.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Citizen Jean-Baptiste Belley - Trioson.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Madame Recamier - David.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Madeline - Benoist.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Portrait of Susanna van Collen nee Mogge and her daughter - Numan.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
Self-portrait - Benoist.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Anger of Achilles - David.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Architects Dream - Cole.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Death of Nelson - West.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Death of Seneca - David.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Death of Socrates - David.jpg,Deep Depth,Normal Contrast,Dark Value,Distinct Lines
The Emperor Napoleon in his Study at the Tuileries - David.jpg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
The Intervention of the Sabine Woman - David.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Lictors Returning to Brutus the Bodies of his sons - David.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Sleep of Endymion - Girodet.jpg,Shallow Depth,High Contrast,Balanced Value,Intermediate Lines
Virgil reading to Augustus - Ingres.jpg,Shallow Depth,Normal Contrast,Dark Value,Distinct Lines
Burial of Atala - Trioson.jpeg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
Dante and Virgil - Bouguereau.jpeg,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines
