Name,Abstraction Level
Improvisation 28 - Kandinsky.jpg,Wholly Abstract
L'Atelier Rouge - Matisse.jpg,Semi-Abstract
Little Blue Horse - Marc.jpg,Semi-Abstract
Love and Pain - Munch.jpg,Semi-Abstract
Migrants - Portinari.jpg,Semi-Abstract
Nude at Rest - Balthus.jpg,Naturalistic
Nude Sitting on a Divan - Modigliani.jpg,Semi-Abstract
Portrait of Luna Czechowski - Modigliani.jpg,Semi-Abstract
Portrait of Wally - Schiele.jpg,Semi-Abstract
Potsdamer Platz - Kirchner.jpg,Semi-Abstract
Puberty - Munch.jpg,Naturalistic
Seated Male Nude - Schiele.jpg,Semi-Abstract
Seated Nude - Modigliani.jpg,Semi-Abstract
Seated Woman with Bent Knee - Schiele.jpg,Semi-Abstract
Self Portrait - Picasso.jpg,Semi-Abstract
Self Portrait as a Soldier - Kirchner.jpg,Semi-Abstract
Self Portrait with Chinese Lantern Plant - Schiele.jpg,Semi-Abstract
Small Pleasures - Kandinsky.jpg,Wholly Abstract
Street Berlin - Kirchner.jpg,Semi-Abstract
Street Dresden - Kirchner.jpg,Semi-Abstract
The Absinthe Drinker - Picasso.jpg,Naturalistic
The Blue Rider - Kandinsky.jpg,Semi-Abstract
The Dance of Life - Munch.jpg,Semi-Abstract
The Scream - Munch.jpg,Semi-Abstract
The World Cow - Marc.jpg,Semi-Abstract
The Yellow Man - Malfatti.jpg,Semi-Abstract
Tower of Blue Horses - Marc.jpg,Organically Abstract
Yellow Cow - Marc.jpg,Semi-Abstract
Young girl in a flowered hat - Jawlensky.jpg,Semi-Abstract
Young girl with yellow flowers in the glass - Becker.jpg,Naturalistic
Death and Fire - Klee.jpeg,Organically Abstract
Fish Magic - Klee.jpeg,Organically Abstract
La Blouse Roumaine - Matisse.jpeg,Semi-Abstract
Portrait of Gertrude Stien - Picasso.jpeg,Naturalistic
The Old Guitarist - Picasso.jpeg,Semi-Abstract
Banks of the Seine at Chatou - Vlaminck.jpg,Organically Abstract
Boats at Martigues - Dufy.jpg,Semi-Abstract
Bonheur de Vivre - Matisse.jpg,Semi-Abstract
Charing Cross Bridge - Derain.jpg,Semi-Abstract
Church Tower at Domburg - Mondrian.jpg,Semi-Abstract
Collioure Interior - Matisse.jpg,Semi-Abstract
Dance - Matisse.jpg,Semi-Abstract
Dune IV - Mondrain.jpg,Organically Abstract
Goldfish - Matisse.jpg,Semi-Abstract
Lady in the hat - Mashkov.jpg,Semi-Abstract
Landscape near Antwerp - Braque.jpg,Organically Abstract
Landscape Near Chatou - Derain.jpg,Semi-Abstract
Landscape with Red Roofs - Vlaminck.jpg,Semi-Abstract
Le cafe Maure - Matisse.jpg,Semi-Abstract
Les Toit de Collioure - Matisse.jpg,Semi-Abstract
Luxe - Matisse.jpg,Semi-Abstract
Mountains at Collioure - Derain.jpg,Semi-Abstract
Notre Dame - Matisse.jpg,Semi-Abstract
Portrait of Andre Derain - Matisse.jpg,Semi-Abstract
Portrait of Matisse - Derain.jpg,Semi-Abstract
Portrait of the Son - Konchalovsky.jpg,Semi-Abstract
Prades the Village - Miro.jpg,Semi-Abstract
Regent Street - Derain.jpg,Semi-Abstract
Self Portrait - Matisse.jpg,Semi-Abstract
Ship at La Harve - Braque.jpg,Naturalistic
Street Lamp - Marquet.jpg,Semi-Abstract
The Blue Nude - Matisse.jpg,Semi-Abstract
The Blue Window - Matisse.jpg,Organically Abstract
The Corn Poppy - Dongen.jpg,Semi-Abstract
The Dance - Derain.jpg,Semi-Abstract
The Estaque - Braque.jpg,Semi-Abstract
The Green Line - Matisse.jpg,Semi-Abstract
The Moulade - Matisse.jpg,Semi-Abstract
The Open Window - Matisse.jpg,Semi-Abstract
The Turning Road - Derain.jpg,Semi-Abstract
Turkisches Cafe - Macke.jpg,Semi-Abstract
Windmill in Sunlight - Mondrain.jpg,Semi-Abstract
Window Opening on Nice - Dufy.jpg,Semi-Abstract
Woman with a Hat - Matisse.jpg,Semi-Abstract
Zorah on the Terrace - Matisse.jpg,Semi-Abstract
Bougival - Vlaminck.jpeg,Semi-Abstract
Portrait of Derain - Vlaminck.jpeg,Semi-Abstract
Posters at Trouville - Dufy.jpeg,Semi-Abstract
Self Portrait with a Cap - Derain.jpeg,Semi-Abstract
Still life with Grapes - Mashov.jpeg,Semi-Abstract
The Piano Lesson - Matisse.jpeg,Semi-Abstract
The Red Mill - Mondrian.jpeg,Semi-Abstract
The River Seine at Chatou - Vlaminck.jpeg,Semi-Abstract
Tugboat on the Siene - Vlaminck.jpeg,Semi-Abstract
A Girl with a Watering Can - Renoir.jpg,Semi-Abstract
A Stream Beneath the Poplars - Perry.jpg,Semi-Abstract
At the Races in the Countryside - degas.jpg,Naturalistic
Autumn Effect at Argenteuil - Monet.jpg,Semi-Abstract
Autumn-Banks of the Seine near Bougival - Sisley.jpg,Semi-Abstract
Boulevard de Capucines - Monet.jpg,Naturalistic
Cafe-Concert at Les Ambassadeurs - Degas.jpg,Semi-Abstract
Camille Monet and a Child in the Artist's Garden at Argenteuil - Monet.jpg,Naturalistic
Caprice in Purple and Gold - Whistler.jpg,Naturalistic
Cliff Walk at Pourville - Monet.jpg,Semi-Abstract
Dal du moulin de la Galette - Renoir.jpg,Naturalistic
Girl with Peaches - Serov.jpg,Naturalistic
Grainstack - Monet.jpg,Semi-Abstract
Haystacks - Monet.jpg,Naturalistic
Hoarfrost - Pissarro.jpg,Naturalistic
Hunting Butterflies - Morisot.jpg,Semi-Abstract
In the Loge - Cassatt.jpg,Naturalistic
La Gare Saint-Lazare - Monet.jpg,Semi-Abstract
La Loge - Renoir.jpg,Naturalistic
La Promenade - Renoir.jpg,Semi-Abstract
Les Bain a la Grenoullere - Monet.jpg,Naturalistic
Little Girl in a Blue Armchair - Cassatt.jpg,Naturalistic
Luncheon on the Grass - Monet.jpg,Naturalistic
Madame Georges Charpentier - Renoir.jpg,Naturalistic
Man at his Bath - Caillebotte.jpg,Naturalistic
Poplars - Monet.jpg,Semi-Abstract
Study - Renior.jpg,Semi-Abstract
The Basin at Argenteuil - Monet.jpg,Naturalistic
The Bellelli Family - Degas.jpg,Naturalistic
The Childs Bath - Cassatt.jpg,Naturalistic
The Cradle - Morisot.jpg,Naturalistic
The Girl Covered by the Sun - Serov.jpg,Naturalistic
The Grands Boulevard - Renoir.jpg,Semi-Abstract
The Harbor at Lorient - Morisot.jpg,Naturalistic
The Swing - Renoir.jpg,Semi-Abstract
The Water Lilies - Monet.jpg,Naturalistic
Two Sisters - Renoir.jpg,Semi-Abstract
Visit to a Museum - Degas.jpg,Semi-Abstract
Woman with the Pearl Necklace - Cassatt.jpg,Naturalistic
Women in the Garden - Monet.jpg,Naturalistic
Floor Scrappers - Caillebotte.jpeg,Naturalistic
Impression Sunrise - Monet.jpeg,Organically Abstract
Luncheon of the Boating Party - Renoir.jpeg,Naturalistic
Paris Street Rainy Day - Caillebotte.jpeg,Naturalistic
Poppies - Monet.jpeg,Semi-Abstract
The Ballet Class - Degas.jpeg,Semi-Abstract
The Boulevard Montmarte - Pissaro.jpeg,Organically Abstract
Woman with a Parasol - Monet.jpeg,Semi-Abstract
Women Walking on a Beach - Sorolla.jpeg,Naturalistic
Achilles Receiving the Ambassadors of Agamemnon.jpg,Naturalistic
Ancient Rome - Panini.jpg,Naturalistic
Aqueduct in Ruins - Robert.jpg,Naturalistic
Benjamin Franklin Drawing Electricity from the Sky - West.jpg,Naturalistic
Charles Towneley in his sculpture gallery - Zoffany.jpg,Naturalistic
Cornelia Pointing to her Children as Her Treasures - Kauffmann.jpg,Naturalistic
Diana and Cupid - Batoni.jpg,Naturalistic
Fantasy view - Panini.jpg,Naturalistic
Johann Joachim Winckelmann.jpg,Naturalistic
Judgement of Paris - Mengs.jpg,Naturalistic
Julie Lebrun as Flora - Le Brun.jpg,Naturalistic
Jupiter and Thetis - Ingres.jpg,Naturalistic
Madame Raymod de Verninac - David.jpg,Naturalistic
Modern Romania - Tattarescu.jpg,Semi-Abstract
Napoleon Crossing the Alps - David.jpg,Naturalistic
Napoleon I on his Imperial Throne - Ingres.jpg,Naturalistic
Perseus and Andromeda - Leighton.jpg,Naturalistic
Portrait of Antoine-Laurent Lavoisier and his wife - David.jpg,Naturalistic
Portrait of Citizen Jean-Baptiste Belley - Trioson.jpg,Naturalistic
Portrait of Madame Recamier - David.jpg,Naturalistic
Portrait of Madeline - Benoist.jpg,Naturalistic
Portrait of Susanna van Collen nee Mogge and her daughter - Numan.jpg,Naturalistic
Self-portrait - Benoist.jpg,Naturalistic
The Anger of Achilles - David.jpg,Naturalistic
The Architects Dream - Cole.jpg,Naturalistic
The Death of Nelson - West.jpg,Naturalistic
The Death of Seneca - David.jpg,Naturalistic
The Death of Socrates - David.jpg,Naturalistic
The Emperor Napoleon in his Study at the Tuileries - David.jpg,Naturalistic
The Intervention of the Sabine Woman - David.jpg,Naturalistic
The Lictors Returning to Brutus the Bodies of his sons - David.jpg,Naturalistic
The Sleep of Endymion - Girodet.jpg,Naturalistic
Virgil reading to Augustus - Ingres.jpg,Naturalistic
Burial of Atala - Trioson.jpeg,Naturalistic
Dante and Virgil - Bouguereau.jpeg,Naturalistic
L'excommunication de Robert le Pieux - Laurens.jpeg,Naturalistic
Leonidas at Thermopylae - David.jpeg,Naturalistic
Oedipus Explaining the Enigma of the Sphinx - Ingres.jpeg,Naturalistic
Portrait of Monsieur Bertin - Inres.jpeg,Naturalistic
Princesse de Broglie - Ingres.jpeg,Naturalistic
The Artist and His Family - West.jpeg,Naturalistic
The Coronation of Napoleon - David.jpeg,Naturalistic
The Cupid Seller - Vien.jpeg,Naturalistic
The Damsel and Orlando - West.jpeg,Naturalistic
The Death of General Wolfe - West.jpeg,Naturalistic
The Death of Leonardo da Vinci - Ingres.jpeg,Naturalistic
The Death of Marat - David.jpeg,Naturalistic
The Explusion of Adam and Eve from Paradise - West.jpeg,Semi-Abstract
The Oath of Horatii - David.jpeg,Naturalistic
A Sunday on La Grande Jatte.jpg,Naturalistic
A Wheatfield with Cypresses - van Gogh.jpg,Semi-Abstract
Arearea - Gauguin.jpg,Semi-Abstract
At the Moulin Rouge - Lautrec.jpg,Semi-Abstract
Bathers - Cezanne.jpg,Organically Abstract
Boy in a Red Vest - Cezanne.jpg,Semi-Abstract
Breton Girls Dancing - Gauguin.jpg,Naturalistic
Cafe Terrace at Night - van Gogh.jpg,Semi-Abstract
Coastal Landscape from Martinique - Gauguin.jpg,Semi-Abstract
Coming and Going - Gauguin.jpg,Semi-Abstract
Day of God - Gauguin.jpg,Semi-Abstract
Evening Calm - Signac.jpg,Naturalistic
Harvest at La Crau - van Gogh.jpg,Semi-Abstract
Irises - van Gogh.jpg,Semi-Abstract
Le Chahut - Seurat.jpg,Semi-Abstract
Madame Cezanne - Cezanne.jpg,Semi-Abstract
Models - Seurat.jpg,Naturalistic
Mont Sainte-Victorie - Cezanne.jpg,Semi-Abstract
Morning Calm - Signac.jpg,Naturalistic
Parade de cirque - Seurat.jpg,Semi-Abstract
Paul Alexis reading to Emile Zola - Cezanne.jpg,Semi-Abstract
Road with Cypress and Star - van Gogh.jpg,Semi-Abstract
Seascape Near Les Saintes - van Gogh.jpg,Naturalistic
Self-portrait dedicated to Vincent van Gogh - Gauguin.jpg,Semi-Abstract
Self-portrait in a hat - Gauguin.jpg,Semi-Abstract
Self-portrait with bandaged ear - van gogh.jpg,Semi-Abstract
Spirit of the Dead Watching - Gauguin.jpg,Semi-Abstract
Starry Night over the Rhone - van Gogh.jpg,Organically Abstract
Still Life with Plaster Cupid - Cezanne.jpg,Organically Abstract
The Basket of Apples - Cezanne.jpg,Naturalistic
The Bather - Cezanne.jpg,Semi-Abstract
The Bedroom - van Gogh.jpg,Semi-Abstract
The Card Players - Cezanne.jpg,Semi-Abstract
The Church at Auvers - van Gogh.jpg,Semi-Abstract
The Dream - Rosseau.jpg,Semi-Abstract
The Mango Trees - Gauguin.jpg,Semi-Abstract
The Painter of Sunflowers - Gauguin.jpg,Semi-Abstract
The Red Cow - Gauguin.jpg,Semi-Abstract
The Red Rock - Cezanne.jpg,Organically Abstract
The Sleeping Gypsy - Rosseau.jpg,Semi-Abstract
The Starry Night - van Gogh.jpg,Organically Abstract
Tiger in a Tropical Storm - Rosseau.jpg,Semi-Abstract
Tropical Conversation - Gauguin.jpg,Semi-Abstract
Turning Road at Montgeroult - Cezanne.jpg,Semi-Abstract
Vision after the Sermon - Gauguin.jpg,Semi-Abstract
Wheatfield with Crows - van Gogh.jpg,Semi-Abstract
When will you marry - Gauguin.jpg,Semi-Abstract
Self-portrait dedicated to Paul Gauguin - van Gogh.jpeg,Semi-Abstract
Still Life with Apples - Cezanne.jpeg,Semi-Abstract
A Burial at Ornans - Courbet.jpg,Naturalistic
A Loge at the Theater des Italiens - Gonzales.jpg,Naturalistic
Autum Day - Levitan.jpg,Naturalistic
Autumn Bouquet - Repin.jpg,Naturalistic
Bar at the Folies-Bergere - Manet.jpg,Naturalistic
Barge Haulers on the Volga - Repin.jpg,Naturalistic
Beach at Scheveningen in Stormy Weather - van Gogh.jpg,Organically Abstract
Corner of a Cafe-Concert - Manet.jpg,Naturalistic
Emile Zola - Manet.jpg,Naturalistic
Family Portrait - Ostade.jpg,Naturalistic
Femme nu Couchee - Courbet.jpg,Naturalistic
Golden Autumn - Levitan.jpg,Semi-Abstract
Hawning Apprentice - Mankacsy.jpg,Naturalistic
Hunters at Rest - Perov.jpg,Naturalistic
In the Conservatory - Manet.jpg,Naturalistic
Ivan the Terrible and His Son Ivan - Repin.jpg,Naturalistic
Jewess with Oranges - Gierymski.jpg,Naturalistic
L'Angelus - Millet.jpg,Naturalistic
La rencontre - Courbet.jpg,Naturalistic
Les Demoiselles du bord de la Seine - Courbet.jpg,Naturalistic
Morning in a Pine Forest - Shishkin.jpg,Naturalistic
Music in the Tuileries Gardens - Manet.jpg,Naturalistic
Olympia - Manet.jpg,Naturalistic
Ploughing in the Nivernais - Bonheur.jpg,Naturalistic
Plum Brandy - Manet.jpg,Naturalistic
Portrait of an Unknown Woman - Kramskoi.jpg,Naturalistic
Science and Charity - Picasso.jpg,Naturalistic
Sheep in the Highlands - Bonheur.jpg,Naturalistic
Skull of a Skeleton with Burning Cigarette - van Gogh.jpg,Semi-Abstract
Taking a Snow Town - Surikov.jpg,Naturalistic
The Apotheosis of War - Vereschchagin.jpg,Naturalistic
The Daughters of Edward Darley Boit.jpg,Naturalistic
The Fifer - Manet.jpg,Naturalistic
The First Mourning - Bouguereau.jpg,Naturalistic
The Gleaners - Millet.jpg,Naturalistic
The Little Cavaliers - Manet.jpg,Naturalistic
The Morning of the Streltsy Execution - Surikov.jpg,Naturalistic
The Painter's Studio - Courbet.jpg,Naturalistic
The Railway - Manet.jpg,Naturalistic
The Rooks Have Come Back - Savrasov.jpg,Naturalistic
The Violoncellist - Courbet.jpg,Naturalistic
The Wheat Sifters - Courbet.jpg,Naturalistic
Valley of the Loue - Courbet.jpg,Naturalistic
Whistler's Mother - Whistler.jpg,Naturalistic
Luncheon on the Grass - Manet.jpeg,Semi-Abstract
Silent Monastary - Levitan.jpeg,Naturalistic
The Potato Eaters - van Gogh.jpeg,Semi-Abstract
The Shepherdess - Bouguereau.jpeg,Naturalistic
The Stone Breakers - Courbet.jpeg,Naturalistic
A goldsmith in his shop - Christus.jpg,Naturalistic
Adoration of the Kings - van der Goes.jpg,Naturalistic
Adoration of the Magi - Botticelli.jpg,Naturalistic
Arnolfini Portrait - van Eyck.jpg,Naturalistic
Baptism of Christ - Verrocchio.jpg,Naturalistic
Birth of the Virgin - Ghirlandaio.jpg,Naturalistic
Calumny of Apelles - Botticelli.jpg,Naturalistic
Christ and the Virgin - Campin.jpg,Semi-Abstract
Christ Giving the Keys of the Kingdom to St. Peter - Perugino.jpg,Naturalistic
Crucifixion with the Virgin and St. John - van der weyden.jpg,Naturalistic
Danae - Correggio.jpg,Naturalistic
Death of the Virgin - Mantegna.jpg,Naturalistic
La Primavera (Spring) - Botticelli.jpg,Naturalistic
Lamentation of Christ - Mantegna.jpg,Naturalistic
Madonna and Child - Crivelli.jpg,Naturalistic
Madonna and Child with Two Angels - Fra Filippo Lippi.jpg,Naturalistic
Madonna in the Church - van Eyck.jpg,Naturalistic
Madonna of the Meadow - Raphael.jpg,Naturalistic
Miracle of the Relic of the Cross at the Rialto Bridge - Carpaccio.jpg,Naturalistic
Mona Lisa - da Vinci.jpg,Naturalistic
Pastoral Concert - Titian.jpg,Naturalistic
Pieta - Bellini.jpg,Naturalistic
Pieta of Villeneuve les avignon.jpg,Semi-Abstract
Portrait of a Man with a Medal of Cosimo il Vecchio de' Medici - Botticelli.jpg,Naturalistic
Portrait of a Young Girl - Christus.jpg,Naturalistic
Portrait of a Young Woman - Botticelli.jpg,Naturalistic
Portrait of Eleonora Gonzaga - Titian.jpg,Naturalistic
Portrait of Francesco Maria Della Rovere - Titian.jpg,Naturalistic
Portrait of Pope Julius II - Raphael.jpg,Naturalistic
Portrait of Sultan Mehmed II - Bellini.jpg,Semi-Abstract
Saint Luke Painting the Madonna - Gossaert.jpg,Semi-Abstract
Saint Sebastian - Mentegna.jpg,Naturalistic
School of Athens - Raphael.jpg,Naturalistic
Self Portrait - Durer.jpg,Naturalistic
Sleeping Venus - Giorgione.jpg,Naturalistic
The Ambassadors - Holbein.jpg,Naturalistic
The Annunciation - Fra Angelico.jpg,Naturalistic
The Birth of Venus - Botticelli.jpg,Naturalistic
The Creation of Adam - Michelangelo.jpg,Naturalistic
The Crowning wiht Thorns - Titian.jpg,Naturalistic
The Damned Cast into Hell - Signorelli.jpg,Semi-Abstract
The Last Judgement - Michelangelo.jpg,Semi-Abstract
The Last Supper - da Vinci.jpg,Naturalistic
The Sistine Madonna - Raphael.jpg,Naturalistic
The Tempest - Giorgione.jpg,Naturalistic
The tower of babel - Bruegel.jpg,Naturalistic
The virgin and child with saint and donor - david.jpg,Naturalistic
Three Philosophers - Giorgione.jpg,Naturalistic
Two Witches - Grien.jpg,Naturalistic
Archduchess Marie Antionette Queen of France - LeBrun.jpg,Naturalistic
Boy with a Spinning Top - Chardin.jpg,Naturalistic
Charles III Dining Before the Court - Prado.jpg,Naturalistic
Cupid and Psyche - West.jpg,Naturalistic
Diana after a bath - Boucher.jpg,Naturalistic
Diana After the Hunt - Boucher.jpg,Naturalistic
Dresden - Bellotto.jpg,Naturalistic
Elizabeth Trubetskaya.jpg,Naturalistic
Hercules and Omphale.jpg,Naturalistic
La Toilette de Venus - Boucher.jpg,Naturalistic
Les Plaisirs du Bal - Watteau.jpg,Naturalistic
Luncheon with Ham - Lancret.jpg,Naturalistic
Madame Bergeret - Francois.jpg,Naturalistic
Madame de Pompadour - Boucher.jpg,Naturalistic
Marie Antoinette and Her Children - Le Brun.jpg,Naturalistic
Marrigae a la mode - Hogarth.jpg,Naturalistic
Mr and Mrs William Hallett - Gainsborough.jpg,Naturalistic
Mrs Richard Brinsley Sheridan - Gainsborough.jpg,Naturalistic
Mrs Sarah Siddons - Gainsborough.jpg,Naturalistic
Piazza San Marco - Canaletto.jpg,Naturalistic
Pierrot - Watteau.jpg,Naturalistic
Pilgrimage to Cythera - Watteau.jpg,Semi-Abstract
Portrait of Louis XV - Ranc.jpg,Naturalistic
Portrait of Prokofiy Demidov - Levitsky.jpg,Naturalistic
Satan Sin and Death - Hogarth.jpg,Naturalistic
Self Portrait with Straw Hat - Le Brun.jpg,Naturalistic
Soap Bubbles - Chardin.jpg,Naturalistic
The Archers - Reynolds.jpg,Naturalistic
The Banquet of Cleopatra - Tiepolo.jpg,Naturalistic
The Bathers - Fragonard.jpg,Naturalistic
The Blue Boy - Gainsborough.jpg,Naturalistic
The Declaration of Love - de Troy.jpg,Naturalistic
The Entrance to the Grand Canal Venice - Canaletto.jpg,Naturalistic
The Fountain of Love - Fragonard.jpg,Naturalistic
The Gate of Calais - Hogarth.jpg,Naturalistic
The Graham Children - Hogarth.jpg,Naturalistic
The Honorable Mrs Graham.jpg,Naturalistic
The Ladies Waldegrave - Reynolds.jpg,Naturalistic
The Lock - Fragonard.jpg,Naturalistic
The Prearranged Flight - Fragonard.jpg,Naturalistic
The Progress of Love The Pursuit - Fragonard.jpg,Naturalistic
The Progress of Love.jpg,Naturalistic
The Scale of Love- Watteau.jpg,Naturalistic
The Stolen Kiss - Fragonard.jpg,Naturalistic
The Toilet of Venus Boucher.jpg,Naturalistic
The Triumph of Venice - Pompeo.jpg,Naturalistic
The Triumph of Venus - Boucher.jpg,Naturalistic
The Village Bride - Greuze.jpg,Naturalistic
The Swing - Fragonard.jpeg,Naturalistic
Alyonushka.jpg,Naturalistic
Charles IV of Spain and His Family - Goyta.jpg,Naturalistic
Christ on the Sea of Galilee - Delacroix.jpg,Naturalistic
Dido building Carthage - Turner.jpg,Naturalistic
Entry of the Crusaders in Constantinople - Delacroix.jpg,Naturalistic
Fishermen at Sea - Turner.jpg,Naturalistic
Hylas and the Nymphs - Waterhouse.jpg,Naturalistic
Jewish wedding in Morocco - Delacroix.jpg,Naturalistic
Knight at the Crossroads - Vasnetsov.jpg,Naturalistic
La maja desnuda - Goya.jpg,Naturalistic
Lady Lilith - Rossetti.jpg,Naturalistic
Medea - Delacroix.jpg,Naturalistic
Modern Rome - Turner.jpg,Naturalistic
Saturn Devouring one of his Sons - Lucientes.jpg,Naturalistic
Self-portrait with Dr Arrieta - Goya.jpg,Semi-Abstract
Snow Storm - Turner.jpg,Naturalistic
The Abbey in the Oakwood - Friedrich.jpg,Naturalistic
The Barque of Dante - Delacroix.jpg,Naturalistic
The Battle of Trafalgar - Turner.jpg,Naturalistic
The Black Duchess - Goya.jpg,Naturalistic
